name,category,build_date,num_events,ActsTrackFindingAlg,ActsPixelSeedingAlg,ActsStripSeedingAlg,ActsPixelClusterizationAlg,ActsStripClusterizationAlg,ActsStripSpacePointFormationAlg,ActsPixelSpacePointFormationAlg,ActsAmbiguityResolutionAlg,avg_mem_ActsTrackFindingAlg,avg_mem_ActsPixelSeedingAlg,avg_mem_ActsStripSeedingAlg,avg_mem_ActsPixelClusterizationAlg,avg_mem_ActsStripClusterizationAlg,avg_mem_ActsStripSpacePointFormationAlg,avg_mem_ActsPixelSpacePointFormationAlg,avg_mem_ActsAmbiguityResolutionAlg,ckf_tracks,selected_tracks,input_seeds,efficiency,pixel_clusters,strip_clusters
12-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-12 21:01:00,100.0,0.9245640404040404,0.7814955555555555,0.0,0.7114315151515151,0.33477717171717175,0.0,0.026672828282828284,0.10062818181818181,111244.87878787878,4513.393939393939,0.0,81185.93939393939,47754.606060606064,0.0,30184.50505050505,93892.68686868687,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
13-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-13 21:01:00,100.0,0.9256417171717172,0.7775163636363637,0.0,0.7233337373737374,0.33507424242424244,0.0,0.027564848484848484,0.10003575757575758,111244.8686868687,4513.373737373738,0.0,81185.92929292929,47754.59595959596,0.0,30184.52525252525,93892.70707070707,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
14-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-14 21:01:00,100.0,0.9223212121212122,0.7802967676767677,0.0,0.712319494949495,0.3354024242424242,0.0,0.026844949494949498,0.09945666666666667,111244.85858585859,4513.383838383838,0.0,81185.95959595959,47754.606060606064,0.0,30184.50505050505,93892.70707070707,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
15-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-15 21:01:00,100.0,0.9178741414141415,0.7799903030303029,0.0,0.7084287878787879,0.3391704040404041,0.0,0.027195656565656565,0.1021740404040404,111244.898989899,4513.383838383838,0.0,81185.9494949495,47754.606060606064,0.0,30184.50505050505,93892.68686868687,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
16-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-16 21:01:00,100.0,0.9106675757575756,0.7812334343434344,0.0,0.7146284848484848,0.33720646464646464,0.0,0.026602525252525256,0.09887050505050506,111245.12121212122,4513.454545454545,0.0,81758.71717171717,50848.07070707071,0.0,30184.565656565657,93892.9191919192,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
17-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-17 21:01:00,100.0,0.911250909090909,0.7762436363636364,0.0,0.7131016161616162,0.3328967676767677,0.0,0.0268279797979798,0.09813434343434342,111245.11111111111,4513.434343434344,0.0,81758.73737373737,50848.07070707071,0.0,30184.52525252525,93892.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
18-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-18 21:01:00,100.0,0.9128790909090908,0.782509494949495,0.0,0.7329072727272727,0.3361720202020202,0.0,0.027046464646464645,0.10054767676767676,111245.12121212122,4513.454545454545,0.0,81758.73737373737,50848.07070707071,0.0,30184.535353535353,93892.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
19-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-19 21:01:00,100.0,0.9063976767676767,0.7776951515151516,0.0,0.7072327272727271,0.3391784848484848,0.0,0.02662656565656566,0.09877454545454545,111235.12121212122,4513.444444444444,0.0,81758.67676767676,50848.10101010101,0.0,30181.262626262625,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
20-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-20 21:01:00,100.0,0.9099751515151514,0.780640707070707,0.0,0.7241091919191919,0.33833434343434343,0.0,0.026604646464646466,0.10106323232323232,111235.12121212122,4513.444444444444,0.0,81758.68686868687,50848.11111111111,0.0,30181.272727272728,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
21-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-21 21:01:00,100.0,0.9134480808080808,0.7748776767676768,0.0,0.7437822222222222,0.3397535353535353,0.0,0.02654353535353535,0.09726959595959596,111235.12121212122,4513.454545454545,0.0,81758.68686868687,50848.10101010101,0.0,30181.272727272728,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
22-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-22 21:01:00,100.0,0.9196763636363636,0.7738861616161615,0.0,0.722870101010101,0.340140101010101,0.0,0.026245151515151513,0.09614131313131312,111235.12121212122,4513.474747474747,0.0,81758.69696969698,50848.11111111111,0.0,30181.262626262625,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
23-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-23 21:01:00,100.0,0.9209620202020202,0.7727462626262627,0.0,0.7080274747474747,0.33956202020202014,0.0,0.02640010101010101,0.09664222222222221,111235.12121212122,4513.444444444444,0.0,81758.67676767676,50848.10101010101,0.0,30181.272727272728,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
24-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-24 21:01:00,100.0,0.9208230303030303,0.775720101010101,0.0,0.7641646464646464,0.34018373737373736,0.0,0.02634080808080808,0.09694828282828283,111235.12121212122,4513.454545454545,0.0,81758.68686868687,50848.10101010101,0.0,30181.262626262625,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
25-07-2024-main-x86_64-el9-gcc13-opt-phase2_recoonly_actsfasttracking-RAWtoALL,spot-mon-phase2_recoonly_actsfasttracking,2024-07-25 21:01:00,100.0,0.9262439393939393,0.7758670707070707,0.0,0.7528193939393939,0.34119262626262625,0.0,0.026590707070707074,0.09732141414141414,111235.12121212122,4513.454545454545,0.0,81758.69696969698,50848.10101010101,0.0,30181.252525252527,93882.92929292929,1862.55,1791.81,9834.7,0.861,240600.14,225950.92
